Лот,Продан,Гр,Игрок,Продавец,Покупатель,Поз,Воз,Мас,T,РТ,Цена,/xml/players/transfer.php?page=1&type=players/transfer&act=history&Age_1=16&Age_2=16&Talent_1=4&Talent_2=4&lottime=2024-11-12&id=&sort=LotL
3324737,10.01.25,,Крин Грэдинару,Спортул,Покупатель,Cd,16,15,4,4.1,150.028.200,/players/853728&archive=3324737
3323836,10.01.25,,Сергей Федорович,ФК Смолевичи,Покупатель,Cd,16,17,4,4.0,50.924.999,/players/854571&archive=3323836
3315607,10.12.24,,Серж Хотре,Ренессанс Кигали,Покупатель,Lm,16,8,4,4.0,270.000.000,/players/852480&archive=3315607
3315615,10.12.24,,Денис Прунье,Реймс,Покупатель,Cm,16,8,4,4.0,332.640.000,/players/852341&archive=3315615
3315514,10.12.24,,Ясер Ашор,Аль Каскаа,Покупатель,Cd,16,8,4,4.0,276.203.520,/players/852575&archive=3315514
3315614,10.12.24,,Родриго Вейга Руфи,Хетафе,Покупатель,Cf,16,8,4,4.0,420.000.036,/players/852358&archive=3315614
3316776,10.12.24,,Браулио Конехеро,Олимпия Асунсьон,Покупатель,Cm,16,8,4,4.0,221.000.027,/players/853219&archive=3316776
3316401,10.12.24,,Фидель Боливар,Универсидад ФК,Покупатель,Cf,16,8,4,4.0,255.000.027,/players/853108&archive=3316401
3331746,11.02.25,,Роберто Манчини,Лугано,Покупатель,Cm,16,16,4,4.2,157.500.118,/players/853049&archive=3331746
3331547,11.02.25,,Мелтис Псомиадис,Олимпос,Покупатель,Gk,16,32,4,4.0,111.111.111,/players/856003&archive=3331547
3316079,11.12.24,,Юлиан Хиден,Ред Булл Зальцбург,Покупатель,Gk,16,8,4,4.0,219.600.000,/players/852305&archive=3316079
3315066,11.12.24,,Араз Карапетян,Арабкир,Покупатель,Cf,16,8,4,4.0,152.409.600,/players/852276&archive=3315066
3317069,11.12.24,,Алексей Безбородов,Калуга,Покупатель,Cf,16,9,4,4.0,400.000.036,/players/852938&archive=3317069
3316955,11.12.24,,Гаврило Пекович,Напредак Крушевац,Покупатель,Cm,16,11,4,4.0,300.000.036,/players/852071&archive=3316955
3315710,11.12.24,,Нил Мопе,Тулуза,Покупатель,Am/Cf,16,8,4,4.0,280.000.036,/players/852691&archive=3315710
3315537,11.12.24,,Дирк ван Херк,КФК Тюрнхаут,Покупатель,Cf,16,8,4,4.0,243.600.000,/players/852445&archive=3315537
3315534,11.12.24,,Санчес Пабелла,Энкарнада,Покупатель,Lm,16,8,4,4.0,300.000.000,/players/852553&archive=3315534
3331230,12.02.25,,Ник де Риддер,Лугано,Покупатель,Cf,16,16,4,4.2,100.000.000,/players/852445&archive=3331230
3316157,12.12.24,,Владимир Басов,Дарида,Покупатель,Cd,16,8,4,4.0,300.000.036,/players/852881&archive=3316157
3315859,12.12.24,,Джошуа Койл,Хартс,Покупатель,Cm,16,8,4,4.0,138.311.712,/players/852350&archive=3315859
3315522,12.12.24,,Элаад Танхум,Хапоэль Кфар-Кана,Покупатель,Cm,16,8,4,4.0,208.656.000,/players/852608&archive=3315522
3316139,12.12.24,,Клаудио Браун,Янг Бойс Дикирх,Покупатель,Cd,16,8,4,4.0,221.550.000,/players/852897&archive=3316139
3315584,12.12.24,,Эндреу Крюкшенк,Крейгройстон Ф.К.,Покупатель,Cm,16,8,4,4.0,235.200.078,/players/852536&archive=3315584
3317467,12.12.24,,Алекс Вискарра,Гарсия Агреда,Покупатель,Cd,16,8,4,4.0,188.000.027,/players/853405&archive=3317467
3315531,12.12.24,,Филипп Пинский,Крумкачы,Покупатель,Cm,16,8,4,4.0,257.366.000,/players/852546&archive=3315531
3315596,12.12.24,,Росендо Грасиан,УАНЛ Тигрес,Покупатель,Cf,16,8,4,4.0,231.525.000,/players/852425&archive=3315596
3317379,12.12.24,,Бланко Рестрепо,Атлетико Хуниор,Покупатель,Rd,16,9,4,4.0,170.000.027,/players/853385&archive=3317379
3317055,12.12.24,,Берналь Холи,Спортиво Сан-Лоренцо,Покупатель,Cd,16,8,4,4.0,200.000.027,/players/853330&archive=3317055
3315682,12.12.24,,Линдрю Кэссели,Перт Глори,Покупатель,Gk,16,11,4,4.0,190.000.000,/players/851948&archive=3315682
3315516,12.12.24,,Илко Бибишков,Черно Море,Покупатель,Gk,16,8,4,4.0,211.050.051,/players/852369&archive=3315516
3315511,12.12.24,,Йосимар Очоа,Онсе Лобос,Покупатель,Cd,16,8,4,4.0,287.000.000,/players/852466&archive=3315511
3330399,13.02.25,,Чиненду Файе,Рейдерс Джейк,Покупатель,Cm,16,14,4,4.1,65.167.750,/players/855012&archive=3330399
3331781,13.02.25,,Фортуно Ботичелла,Торино,Покупатель,Am,16,16,4,4.1,300.000.027,/players/852616&archive=3331781
3330023,13.02.25,,Рене Краль,Ярун Мигра,Покупатель,Cf,16,18,4,4.0,77.175.000,/players/855618&archive=3330023
3332017,13.02.25,,Флойд МакБэйн,ФК Эммасте,Покупатель,Cf,16,21,4,4.0,80.000.027,/players/855620&archive=3332017
3317677,13.12.24,,Эрнесто Фернандес Нуньес,Тенерифе,Покупатель,Dm,16,8,4,4.0,289.000.036,/players/853424&archive=3317677
3316468,13.12.24,,Глен Бёрк,Даррус ФК,Покупатель,Cd,16,8,4,4.0,126.000.000,/players/853080&archive=3316468
3315753,13.12.24,,Бруно Софтич,Есенице,Покупатель,Cd,16,8,4,4.0,111.153.053,/players/852728&archive=3315753
3316404,13.12.24,,Балинт Махали,Кафр Эль-Заят Клаб,Покупатель,Cm,16,8,4,4.0,160.080.000,/players/853088&archive=3316404
3317442,13.12.24,,Диего Кристиан Бернаскони,Атланта,Покупатель,Rm,16,10,4,4.0,320.000.027,/players/852843&archive=3317442
3315683,13.12.24,,Йен Свер Валсае,Мосс,Покупатель,Gk,16,8,4,4.0,100.000.000,/players/852674&archive=3315683
3316409,13.12.24,,Хамид Ахмеда,Аль-Харитият,Покупатель,Cd,16,8,4,4.0,121.000.000,/players/853074&archive=3316409
3316470,13.12.24,,Сильвестре Валери,Витербезе,Покупатель,Cm,16,8,4,4.0,245.000.000,/players/853049&archive=3316470
3316186,13.12.24,,Райяри Тайяруи,Теманава,Покупатель,Cm,16,8,4,4.0,200.046.000,/players/852920&archive=3316186
3324709,14.01.25,,Хамзат Уба,Энугу Рейнджерс,Покупатель,Lwd,16,10,4,4.0,52.500.000,/players/854440&archive=3324709
3316431,16.12.24,,Гари МакАллистер,Рейнджерс,Покупатель,Cm,16,8,4,4.0,164.229.122,/players/852996&archive=3316431
3315588,16.12.24,,Пол Фирон,Линкс Ф.К.,Покупатель,Cm,16,8,4,4.0,173.775.000,/players/852526&archive=3315588
3315843,16.12.24,,Йожеф Лендьел,Мошонмадьяровари ТЭ,Покупатель,Gk,16,8,4,4.0,110.426.051,/players/852454&archive=3315843
3318199,16.12.24,,Антонио Мигель Сивера Симеоне,Эхидо,Покупатель,Cd,16,10,4,4.0,333.333.036,/players/852846&archive=3318199
3315589,16.12.24,,Ллойд Мур,Линкс Ф.К.,Покупатель,Cf,16,8,4,4.0,114.000.000,/players/852527&archive=3315589
3315752,16.12.24,,Фрэнк Гуайден,Дублин Сити,Покупатель,Cd,16,8,4,4.0,103.420.800,/players/852726&archive=3315752
3316227,16.12.24,,Франсуа Айме Голли,Урагайо,Покупатель,Cd,16,8,4,4.0,178.000.000,/players/852953&archive=3316227
3315754,16.12.24,,Жерар Олдерни,Прайол Роверс,Покупатель,Cd,16,8,4,4.0,111.449.520,/players/852734&archive=3315754
3316224,16.12.24,,Ричард Элдие,Боа,Покупатель,Ld,16,8,4,4.0,69.019.999,/players/852950&archive=3316224
3316118,16.12.24,,Наджиб Феннази,УС Мадине Аннаба,Покупатель,Rm,16,8,4,4.0,275.000.000,/players/852874&archive=3316118
3316899,16.12.24,,Тева Таи,Тефана,Покупатель,Cf,16,8,4,4.0,193.535.998,/players/853272&archive=3316899
3315623,16.12.24,,Рой Томас Вейнхолдт,Спарта Сарпсборг,Покупатель,Cd,16,8,4,4.0,133.000.000,/players/852426&archive=3315623
3318367,17.12.24,,Аурелио Альба,УКЛА,Покупатель,Cd,16,13,4,4.0,156.000.027,/players/853634&archive=3318367
3316150,17.12.24,,Уссама Зета,Этуаль дю Сахель,Покупатель,Cm,16,11,4,4.0,164.000.000,/players/852940&archive=3316150
3316411,17.12.24,,Наред Тхайтам,Сисакет,Покупатель,Cd,16,8,4,4.0,100.000.000,/players/853111&archive=3316411
3316755,17.12.24,,Адольфо Ройг,Аркалис Юнидо,Покупатель,Cf,16,8,4,4.0,120.960.000,/players/853258&archive=3316755
3316783,18.12.24,,Паричча Брауз Родольфо,Депортиво Пенише,Покупатель,Cd,16,8,4,4.0,250.000.036,/players/853281&archive=3316783
3316110,18.12.24,,Дмитрий Гальчински,Радомяк,Покупатель,Cf,16,10,4,4.0,115.762.500,/players/851918&archive=3316110
3318238,18.12.24,,Кармело Бордаберри,Каматамаре Сануки,Покупатель,Cd,16,10,4,4.0,136.700.027,/players/852384&archive=3318238
3316848,18.12.24,,Раян Бирэйн,Эббсфлит Юнайтед,Покупатель,Cm,16,8,4,4.0,289.958.000,/players/853291&archive=3316848
3316582,19.12.24,,Чезар Бекали,Сепси,Покупатель,Cm,16,8,4,4.0,173.670.000,/players/853133&archive=3316582
3316810,19.12.24,,Божидар Красич,Морнар Бар,Покупатель,Sw,16,11,4,4.0,222.222.036,/players/852248&archive=3316810
3316113,19.12.24,,Мауро Бреу,Газелла Лихтенштайн,Покупатель,Cm,16,8,4,4.0,174.762.000,/players/852868&archive=3316113
3316261,19.12.24,,Пьер Нуньес,ФК Рапид Мансфельдия,Покупатель,Cd,16,8,4,4.0,97.240.500,/players/852955&archive=3316261
3317553,19.12.24,,Робин Делво,Ронсе,Покупатель,Cm,16,8,4,4.0,300.000.036,/players/853413&archive=3317553
3319615,20.12.24,,Эньякву Орума,Уракан Манати,Покупатель,Cd,16,15,4,4.0,150.000.036,/players/852064&archive=3319615
3316474,20.12.24,,Умид Галиев,Парвоз,Покупатель,Cd,16,8,4,4.0,92.715.672,/players/853126&archive=3316474
3317982,20.12.24,,Кармель Чиантар,Бостон Юнайтед,Покупатель,Cf,16,11,4,4.0,140.400.000,/players/852383&archive=3317982
3316445,20.12.24,,Пауль Эренрайч,Вольфсберг,Покупатель,Cm,16,8,4,4.0,222.600.000,/players/853079&archive=3316445
3325774,21.01.25,,Морган Чинсе,Чибуку Уориорс,Покупатель,Rm,16,22,4,4.0,117.600.000,/players/854762&archive=3325774
3326923,21.01.25,,Роберт Лукач,Осиек,Покупатель,Cm,16,16,4,4.0,101.871.112,/players/854524&archive=3326923
3327066,22.01.25,,Ник Бойд,Эксодус,Покупатель,Cm,16,8,4,4.0,47.565.000,/players/854947&archive=3327066
3326784,22.01.25,,Вилльям Крюкшенк,Элгин Сити,Покупатель,Cd,16,16,4,4.0,57.750.002,/players/854582&archive=3326784
3327609,22.01.25,,Магомед Щеголев,Шахтер Солигорск,Покупатель,Cd,16,18,4,4.0,524.999.999,/players/853368&archive=3327609
3327509,22.01.25,,Хайме Патрисио Порозо,Эмелек,Покупатель,Gk,16,24,4,4.0,48.300.000,/players/855060&archive=3327509
3317664,23.12.24,,Аширкулы Нумаев,Балкан Балканабат,Покупатель,Cf,16,8,4,4.0,120.750.000,/players/853452&archive=3317664
3319257,23.12.24,,Назар Сотник,ФК Тернополь,Покупатель,Cf,16,8,4,4.0,150.000.027,/players/853914&archive=3319257
3318621,23.12.24,,Венкатеш Кар,Мадрас Инжиниринг,Покупатель,Cf,16,12,4,4.0,99.840.000,/players/851821&archive=3318621
3316740,23.12.24,,Семён Минар,Карпаты Лимбах,Покупатель,Cf,16,8,4,4.0,98.400.000,/players/853107&archive=3316740
3318776,23.12.24,,Милкиадес Бенегас,Нуэва Коломбиа,Покупатель,Dm,16,9,4,4.0,133.133.133,/players/853474&archive=3318776
3318370,24.12.24,,Салех Станко,Свит Жлин,Покупатель,Cd,16,13,4,4.0,139.999.036,/players/853590&archive=3318370
3319590,24.12.24,,Данкон Флорес,Пемброук Атлетик,Покупатель,Cd,16,8,4,4.0,155.155.155,/players/853965&archive=3319590
3318194,24.12.24,,Рене Штирлиц,Форвертс Штайр,Покупатель,Cd,16,8,4,4.0,134.009.564,/players/853497&archive=3318194
3319028,24.12.24,,Клив Камтллери,Гуджа Юнайтед,Покупатель,Gk,16,8,4,4.0,155.155.155,/players/853856&archive=3319028
3319027,24.12.24,,Лео Омаар,Гуджа Юнайтед,Покупатель,Cf,16,8,4,4.0,155.155.155,/players/853858&archive=3319027
3318188,24.12.24,,Арнольд Нидерхаузер,Брюгг,Покупатель,Cd,16,9,4,4.0,135.442.125,/players/853142&archive=3318188
3320476,24.12.24,,Эмерсон Бето,Фламенго,Покупатель,Cm,16,14,4,4.0,130.000.000,/players/854083&archive=3320476
3319912,24.12.24,,Оскар Лагуэа,Лайонз Ф.К.,Покупатель,Cf,16,8,4,4.0,155.155.155,/players/854029&archive=3319912
3318566,24.12.24,,Алехандро Барраль,Каса де Португал,Покупатель,Cd,16,8,4,4.0,105.346.500,/players/853752&archive=3318566
3318756,25.12.24,,Джордж Браун,Эль Хомбре,Покупатель,Cm,16,13,4,4.0,175.472.982,/players/853779&archive=3318756
3319058,25.12.24,,Фредди Сновал,Централ Рейлвей,Покупатель,Rm,16,12,4,4.0,77.112.000,/players/852699&archive=3319058
3319274,25.12.24,,Ульрик Канструп,Кёге,Покупатель,Gk,16,8,4,4.0,170.000.027,/players/853915&archive=3319274
3318656,25.12.24,,Гари Чейн,Глентанар Джуниорс,Покупатель,Cd,16,10,4,4.0,131.250.000,/players/853203&archive=3318656
3318196,25.12.24,,Ори Бакел,Хаарлем,Покупатель,Cf,16,8,4,4.0,164.850.000,/players/853494&archive=3318196
3319600,25.12.24,,Афшин Наджаф,Пайям-э-Пэйкан,Покупатель,Rm,16,8,4,4.0,143.430.000,/players/854011&archive=3319600
3319073,25.12.24,,Элиано Мочедано,Кальяри,Покупатель,Cf,16,8,4,4.0,160.650.000,/players/853872&archive=3319073
3320477,25.12.24,,Жоель Сеура,Рейнджерс Талька,Покупатель,Cm,16,14,4,4.0,221.000.000,/players/854094&archive=3320477
3318972,26.12.24,,Харен Майтрипала,Ратнам,Покупатель,Cd,16,10,4,4.0,162.000.000,/players/853042&archive=3318972
3318654,26.12.24,,Карлос Дорн,Альтах,Покупатель,Cd,16,10,4,4.0,132.072.825,/players/853361&archive=3318654
3319677,26.12.24,,Дан Сёдерберг,Кроком-Дверсеттс,Покупатель,Lm,16,14,4,4.0,100.132.200,/players/853505&archive=3319677
3318655,26.12.24,,Римас Арлаускис,Бабрунгас,Покупатель,Cd,16,10,4,4.0,110.000.000,/players/853199&archive=3318655
3319095,27.12.24,,Завен Одабашян,Арарат,Покупатель,Cf,16,8,4,4.0,81.647.999,/players/853878&archive=3319095
3319830,27.12.24,,Акоп Джулакян,Эребуни,Покупатель,Dm,16,8,4,4.0,80.015.040,/players/854043&archive=3319830
3321527,27.12.24,,Ли Чан,Уиндсор Арч,Покупатель,Lm,16,18,4,4.0,152.000.000,/players/854070&archive=3321527
3319699,27.12.24,,Тристан Кебадзе,Динамо Батуми,Покупатель,Cf,16,8,4,4.0,110.250.000,/players/853951&archive=3319699
3320467,27.12.24,,Серафим Филин,Торпедо-СКА,Покупатель,Cm,16,13,4,4.0,200.000.000,/players/854082&archive=3320467
3328146,29.01.25,,Даниэль Энрикес,Интер Баррио Куба,Покупатель,Gk,16,13,4,4.0,4.597.200,/players/854795&archive=3328146
3327626,29.01.25,,Жоау Моутинью,Фамаликау,Покупатель,Cm,16,8,4,4.0,65.000.000,/players/855080&archive=3327626
3327403,29.01.25,,Джордан Марс,Гурник Величка,Покупатель,Dm,16,15,4,4.0,92.628.313,/players/852348&archive=3327403
3327404,29.01.25,,Ривелино Дениз,Гурник Величка,Покупатель,Cd,16,17,4,4.1,83.000.000,/players/852482&archive=3327404
3328774,30.01.25,,Жереми Катаззо,Женесс Эш,Покупатель,Cm,16,18,4,4.1,92.715.840,/players/852914&archive=3328774
3328765,30.01.25,,Анусак Судпрасерт,Саван Юнайтед,Покупатель,Cm,16,17,4,4.4,93.112.740,/players/852053&archive=3328765
3327417,30.01.25,,Рейнальдо Инэстроса,Чирикуи,Покупатель,Cd,16,15,4,4.1,65.000.000,/players/853312&archive=3327417
3327490,30.01.25,,Ден Милз,Кембридж Юнайтед,Покупатель,Cd,16,9,4,4.0,65.000.000,/players/855013&archive=3327490
3335181,03.03.25,,Брюно Гардо,Авранш,Покупатель,Cd,16,19,4,4.3,191.100.000,
3334553,04.03.25,,Платон Комаринский,Аль-Ахли,Покупатель,Gk,16,32,4,4.0,99.750.000,
3334061,04.03.25,,Мадс Серхейм,Левангер,Покупатель,Rm,16,17,4,4.2,191.100.000,
3334554,05.03.25,,Карам Эль-Хамж,Аль-Ахли,Покупатель,Cm,16,24,4,4.1,95.000.000,
3334415,05.03.25,,Фабио Вильмес,Газ Метан,Покупатель,Cd,16,28,4,4.1,100.000.000,
3334556,05.03.25,,Вальд Алласане,Аль-Ахли,Покупатель,Cd,16,23,4,4.0,70.000.000,
3335112,05.03.25,,Любомир Цыбульский,Полесье,Покупатель,Cd,16,8,4,4.0,87.150.000,
3334555,06.03.25,,Тимми Бьёркквист,Аль-Ахли,Покупатель,Cd,16,23,4,4.0,77.000.000,
3335723,07.03.25,,Роман Дутко,Чайка,Покупатель,Cd,16,39,4,4.0,110.400.000,
3334730,07.03.25,,Хрингсолал Джуниор,Черчилль Бразерс,Покупатель,Cf,16,13,4,4.0,70.000.000,
3335737,07.03.25,,Яго Гарсия Муньос,Акэдеми,Покупатель,Cd,16,19,4,4.2,105.000.000,
3336044,11.03.25,,Джеральд Маликони,Акэдеми,Покупатель,Cf,16,18,4,4.1,116.550.000,
3335947,11.03.25,,Даниэль Сарик,Сидней Олимпик,Покупатель,Rm,16,20,4,4.0,100.000.000,
3336370,11.03.25,,Арнольд Крайслер,Морейренсе,Покупатель,Cm/Dm,16,17,4,4.4,118.000.000,
3336304,11.03.25,,Ибазито Отта,Страфмор,Покупатель,Cm,16,17,4,4.1,80.000.000,
3337309,11.03.25,,Берри Халлетт,Денди,Покупатель,Cm,16,17,4,4.5,296.572.500,
3336660,12.03.25,,Индржих Малик,Быстрице-под-Хостынем,Покупатель,Gk,16,37,4,4.0,72.000.000,
3336619,12.03.25,,Юссуф Химелла,Сен-Луи,Покупатель,Dm,16,15,4,4.2,68.000.000,
3336048,13.03.25,,Макер Тринец,Витковице,Покупатель,Cf,16,8,4,4.0,57.000.000,
3330577,14.02.25,,Абдилаким Мустафи,Воска Спорт,Покупатель,Cd,16,13,4,4.1,62.600.000,
3330576,14.02.25,,Ёрг Троховски,Штутгарт Киккерс,Покупатель,Rm,16,18,4,4.0,145.000.078,
3332329,14.02.25,,Гарэт Стентон,Палау,Покупатель,Cd,16,17,4,4.3,196.875.000,
3331769,14.02.25,,Ихаз Ариф,Электрик Саплай Корпорейшн,Покупатель,Gk,16,11,4,4.0,8.751.645,
3332101,14.02.25,,Сэмсон Бадд,Палау,Покупатель,Rm,16,18,4,4.3,409.501.000,
3330105,17.02.25,,Тёну Еэрик Зиновьев,Кирм,Покупатель,Gk,16,8,4,4.0,40.950.000,
3332932,17.02.25,,Элвин Маттокс,Гозо,Покупатель,Cd,16,17,4,4.1,100.316.724,
3333294,18.02.25,,Франсиско Карвалью,Линфилд,Покупатель,Gk,16,29,4,4.2,85.000.078,
3337310,18.03.25,,Педро Исмаэль,Атлетик Бильбао,Покупатель,Dm,16,8,4,4.0,80.000.036,
3337689,18.03.25,,Антон Рудик,Мельбурн Виктори,Покупатель,Cm,16,18,4,4.3,76.072.500,
3338819,18.03.25,,Джон Ди Фелис,Дингли Своллоус,Покупатель,Cd,16,59,4,4.0,350.000.000,
3338775,18.03.25,,Джереми Жанин,Денди,Покупатель,Cd,16,18,4,4.5,266.700.000,
3333124,19.02.25,,Рукмали Ичко,Мельбурн Виктори,Покупатель,Gk,16,24,4,4.1,51.000.000,
3337410,19.03.25,,Видаль Хаедо,Морейренсе,Покупатель,Cd,16,17,4,4.2,75.000.000,
3332919,20.02.25,,Ирино Риццини,Авранш,Покупатель,Cd,16,21,4,4.0,102.121.720,
3337277,20.03.25,,Антон Грегорини,Мельбурн Виктори,Покупатель,Cm,16,16,4,4.3,95.550.000,
3332745,21.02.25,,Давид Суазо,Парма,Покупатель,Cf,16,17,4,4.2,140.000.000,
3338182,21.03.25,,Виктор Саенко,Черноморец Одесса,Покупатель,Cd,16,8,4,4.0,99.167.078,
3331553,24.02.25,,Джефри ван Акербоом,Фейеноорд,Покупатель,Cm,16,19,4,4.0,147.000.000,
3339426,24.03.25,,Эдвин Кита,Лехия Гданьск,Покупатель,Dm,16,21,4,4.0,90.000.000,
3338141,24.03.25,,Болеслав Щербатюк,Полесье,Покупатель,Cd,16,8,4,4.0,104.580.000,
3337834,24.03.25,,Гариф Рыков,Спартак Самарканд,Покупатель,Am,16,8,4,4.0,90.000.000,
3333538,25.02.25,,Льюис Фрэнсис,Саванна Старз,Покупатель,Cf,16,19,4,4.0,27.500.000,
3338559,25.03.25,,Маурисио Фернандес,Акэдеми,Покупатель,Cd,16,20,4,4.1,101.000.000,
